epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3274,4.44288,5.4471,3.88074,0,0,0,0,5.39718,5.34117,4.26997,9.15083e-05,9.15083e-05,9.15083e-05
2,28.1685,2.94463,3.92979,2.7999,0.00769,0.00326,0.0044,0.0018,5.00877,5.01478,3.89328,0.000182352,0.000182352,0.000182352
3,42.4042,1.99706,2.82737,1.91043,0.24186,0.25492,0.12004,0.06327,1.70243,2.66132,1.83955,0.00027136,0.00027136,0.00027136
4,56.2973,1.50192,2.22594,1.48083,0.39875,0.478,0.29333,0.20831,1.07836,1.87179,1.31107,0.000269743,0.000269743,0.000269743
5,70.1064,1.25455,1.90037,1.32331,0.42732,0.60303,0.37132,0.27847,0.93685,1.57097,1.21626,0.000266991,0.000266991,0.000266991
6,83.9243,1.11558,1.65165,1.21793,0.4756,0.65065,0.40988,0.32518,0.77592,1.45631,1.10104,0.000264239,0.000264239,0.000264239
7,97.7583,1.02053,1.53308,1.15074,0.47467,0.66957,0.39177,0.31232,0.7781,1.40577,1.08528,0.000261487,0.000261487,0.000261487
8,111.54,0.95008,1.44234,1.11578,0.51378,0.72187,0.44765,0.36282,0.72217,1.2526,1.04268,0.000258735,0.000258735,0.000258735
9,125.34,0.89412,1.38084,1.08472,0.51235,0.75236,0.45946,0.37792,0.67567,1.21638,1.01226,0.000255982,0.000255982,0.000255982
10,139.118,0.8597,1.32844,1.05308,0.5164,0.76931,0.44826,0.3759,0.6327,1.1925,0.99717,0.00025323,0.00025323,0.00025323
11,152.838,0.82018,1.28225,1.033,0.52721,0.78262,0.46242,0.39357,0.59473,1.13198,0.97139,0.000250478,0.000250478,0.000250478
12,166.586,0.78799,1.25393,1.02482,0.52521,0.73757,0.47238,0.39564,0.62802,1.17258,0.9669,0.000247726,0.000247726,0.000247726
13,180.381,0.76502,1.22126,1.00775,0.52978,0.7817,0.47398,0.40604,0.58334,1.10809,0.95782,0.000244974,0.000244974,0.000244974
14,194.206,0.73846,1.20786,0.99253,0.47906,0.80853,0.46134,0.389,0.60475,1.10183,0.96416,0.000242221,0.000242221,0.000242221
15,207.947,0.72911,1.17505,0.98102,0.44023,0.85851,0.47081,0.40876,0.53622,1.07469,0.92312,0.000239469,0.000239469,0.000239469
16,221.779,0.70879,1.15724,0.97297,0.48904,0.8296,0.51893,0.44848,0.54673,1.04507,0.92733,0.000236717,0.000236717,0.000236717
