epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9298,0.75583,2.81545,0.96565,0.4872,0.6995,0.41785,0.37136,0.46249,1.39738,0.83507,9.11222e-05,9.11222e-05,9.11222e-05
2,22.7404,0.50713,1.26132,0.84869,0.50545,0.75643,0.50839,0.46454,0.38493,1.06223,0.81526,0.000181969,0.000181969,0.000181969
3,33.5643,0.49041,1.13565,0.84352,0.51194,0.84008,0.56547,0.51584,0.38241,1.00252,0.81328,0.000270982,0.000270982,0.000270982
4,44.3581,0.48388,1.07652,0.84328,0.50108,0.85738,0.57792,0.53301,0.36543,0.94443,0.80881,0.000269743,0.000269743,0.000269743
5,55.091,0.45932,1.02112,0.83755,0.51412,0.83774,0.56142,0.52435,0.34039,0.93932,0.80706,0.000266991,0.000266991,0.000266991
6,65.7697,0.4481,0.98907,0.83419,0.45309,0.87645,0.5538,0.51292,0.36483,0.93124,0.81003,0.000264239,0.000264239,0.000264239
7,76.4958,0.44485,0.96723,0.83101,0.45787,0.89615,0.5391,0.5046,0.34698,0.95116,0.8063,0.000261487,0.000261487,0.000261487
8,87.1741,0.43747,0.94928,0.83127,0.46181,0.88528,0.54617,0.50796,0.35613,0.9637,0.8104,0.000258735,0.000258735,0.000258735
9,97.8433,0.42975,0.93141,0.8317,0.44385,0.87596,0.47558,0.44543,0.33967,1.00911,0.80557,0.000255982,0.000255982,0.000255982
10,108.566,0.43502,0.92806,0.83261,0.51145,0.87483,0.65756,0.61571,0.33147,0.85632,0.80553,0.00025323,0.00025323,0.00025323
11,119.302,0.42253,0.91325,0.8288,0.50659,0.84894,0.6709,0.62763,0.33482,0.85477,0.80729,0.000250478,0.000250478,0.000250478
12,130.021,0.42218,0.87959,0.83,0.62418,0.74823,0.73934,0.6959,0.33122,0.796,0.80596,0.000247726,0.000247726,0.000247726
13,140.808,0.4197,0.87256,0.82955,0.5197,0.83375,0.70214,0.65517,0.33857,0.86045,0.80769,0.000244974,0.000244974,0.000244974
14,151.474,0.41967,0.85504,0.82669,0.5758,0.79589,0.75277,0.69936,0.34999,0.80057,0.8105,0.000242221,0.000242221,0.000242221
15,162.204,0.41492,0.82248,0.82548,0.54177,0.82143,0.66918,0.62927,0.33018,0.8191,0.80479,0.000239469,0.000239469,0.000239469
16,172.917,0.41432,0.80068,0.82843,0.64046,0.78078,0.78441,0.73841,0.32429,0.70351,0.80515,0.000236717,0.000236717,0.000236717
17,183.654,0.40623,0.77336,0.82307,0.67927,0.8558,0.82386,0.77397,0.32664,0.63843,0.80339,0.000233965,0.000233965,0.000233965
18,194.402,0.41578,0.79819,0.82795,0.63082,0.81109,0.76996,0.71925,0.34841,0.69984,0.80788,0.000231213,0.000231213,0.000231213
19,205.122,0.4127,0.72715,0.82882,0.64738,0.82811,0.79153,0.74237,0.32785,0.68274,0.80507,0.00022846,0.00022846,0.00022846
