epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7166,4.36161,5.39832,3.86498,0,0,0,0,5.39343,5.33793,4.24413,9.11222e-05,9.11222e-05,9.11222e-05
2,22.3692,2.87966,3.91296,2.90051,0,0,0,0,5.44666,5.42337,4.29237,0.000181969,0.000181969,0.000181969
3,33.3394,2.10401,2.83599,2.19983,0.22923,0.26416,0.14572,0.06857,2.00175,2.44868,2.14754,0.000270982,0.000270982,0.000270982
4,44.1884,1.59145,2.25819,1.72088,0.38873,0.48281,0.27899,0.19089,1.2052,1.95775,1.63132,0.000269743,0.000269743,0.000269743
5,54.9805,1.3736,1.94716,1.52573,0.45534,0.62117,0.3879,0.28468,1.01613,1.57828,1.39367,0.000266991,0.000266991,0.000266991
6,65.7742,1.20496,1.68659,1.3682,0.46152,0.61841,0.39611,0.2781,1.07038,1.59339,1.37121,0.000264239,0.000264239,0.000264239
7,76.5556,1.09491,1.58339,1.26695,0.50365,0.70601,0.42911,0.32957,0.87887,1.35923,1.20596,0.000261487,0.000261487,0.000261487
8,87.3465,1.02865,1.47783,1.21969,0.506,0.73184,0.45354,0.35538,0.81916,1.29234,1.13817,0.000258735,0.000258735,0.000258735
9,98.1382,0.95659,1.41752,1.17397,0.51724,0.73654,0.45015,0.35983,0.76783,1.24737,1.08887,0.000255982,0.000255982,0.000255982
10,108.982,0.90934,1.35883,1.11625,0.50831,0.72282,0.44832,0.36353,0.73445,1.26871,1.07159,0.00025323,0.00025323,0.00025323
11,119.756,0.87047,1.31779,1.09414,0.52454,0.77512,0.4756,0.3954,0.66857,1.17711,1.03712,0.000250478,0.000250478,0.000250478
12,130.515,0.83876,1.28789,1.07246,0.50057,0.76748,0.47556,0.39581,0.6491,1.21152,1.01937,0.000247726,0.000247726,0.000247726
13,141.329,0.80491,1.25705,1.05123,0.52686,0.78542,0.46409,0.39039,0.64121,1.13477,1.00264,0.000244974,0.000244974,0.000244974
14,152.016,0.8061,1.23669,1.04042,0.53096,0.78264,0.47176,0.39009,0.65909,1.12549,1.00486,0.000242221,0.000242221,0.000242221
15,162.7,0.77546,1.20948,1.02276,0.53448,0.79511,0.48742,0.40618,0.67329,1.10466,0.99116,0.000239469,0.000239469,0.000239469
16,173.495,0.77789,1.20145,1.0186,0.53653,0.80091,0.48947,0.42326,0.55354,1.05587,0.95241,0.000236717,0.000236717,0.000236717
17,184.236,0.73182,1.1684,0.99824,0.50589,0.84163,0.54512,0.47199,0.53617,1.03284,0.93823,0.000233965,0.000233965,0.000233965
18,194.989,0.73149,1.16648,0.99717,0.53057,0.74994,0.5015,0.42776,0.58941,1.09601,0.95647,0.000231213,0.000231213,0.000231213
19,205.716,0.71509,1.14289,0.98796,0.52465,0.83117,0.52868,0.45216,0.56171,1.04372,0.94153,0.00022846,0.00022846,0.00022846
20,216.393,0.69636,1.12121,0.97797,0.49738,0.85768,0.54081,0.47041,0.51703,0.99718,0.92761,0.000225708,0.000225708,0.000225708
21,227.087,0.69347,1.12042,0.9749,0.42023,0.80208,0.51822,0.45117,0.51221,1.11722,0.92534,0.000222956,0.000222956,0.000222956
22,237.871,0.67181,1.10589,0.96114,0.45134,0.87074,0.51965,0.45317,0.52337,1.00595,0.91567,0.000220204,0.000220204,0.000220204
23,248.574,0.66199,1.08857,0.96013,0.44113,0.91134,0.52183,0.45381,0.52522,1.00003,0.91987,0.000217452,0.000217452,0.000217452
24,259.257,0.65801,1.07964,0.95651,0.4349,0.90481,0.50503,0.44655,0.49082,1.0045,0.90559,0.000214699,0.000214699,0.000214699
25,269.972,0.64843,1.07357,0.94809,0.45708,0.89708,0.51365,0.45202,0.47351,1.0065,0.90267,0.000211947,0.000211947,0.000211947
26,280.672,0.63759,1.06638,0.95032,0.47101,0.8847,0.52956,0.46472,0.49408,0.98448,0.90192,0.000209195,0.000209195,0.000209195
27,291.399,0.62835,1.04727,0.94458,0.46304,0.90094,0.53587,0.47275,0.48458,0.97544,0.90368,0.000206443,0.000206443,0.000206443
28,302.255,0.62698,1.03459,0.9395,0.46087,0.88713,0.52813,0.46727,0.48716,0.98513,0.89976,0.000203691,0.000203691,0.000203691
29,312.965,0.61759,1.03972,0.9416,0.47111,0.89878,0.55636,0.49507,0.46836,0.95426,0.89387,0.000200938,0.000200938,0.000200938
30,323.88,0.61138,1.03279,0.9331,0.50176,0.85417,0.58876,0.52625,0.45549,0.93148,0.88921,0.000198186,0.000198186,0.000198186
31,334.755,0.60818,1.02009,0.93001,0.46454,0.91296,0.53688,0.47742,0.46438,0.95708,0.88814,0.000195434,0.000195434,0.000195434
32,345.435,0.59806,1.00875,0.9282,0.49054,0.86912,0.59152,0.52712,0.45734,0.92396,0.88849,0.000192682,0.000192682,0.000192682
33,356.338,0.59965,1.00956,0.92214,0.49629,0.87615,0.6109,0.54459,0.45356,0.90449,0.88346,0.00018993,0.00018993,0.00018993
34,367.209,0.59696,1.0045,0.92656,0.47447,0.89902,0.55187,0.49263,0.44549,0.94366,0.88515,0.000187177,0.000187177,0.000187177
35,377.873,0.5829,0.99458,0.91905,0.43808,0.89295,0.48346,0.43045,0.45806,1.00657,0.88819,0.000184425,0.000184425,0.000184425
36,388.53,0.58455,0.98849,0.9178,0.45865,0.89917,0.50529,0.45347,0.43574,0.96758,0.87721,0.000181673,0.000181673,0.000181673
37,399.259,0.57666,0.9887,0.9172,0.46701,0.89336,0.54158,0.48326,0.43556,0.9319,0.87938,0.000178921,0.000178921,0.000178921
38,409.927,0.57108,0.97403,0.91355,0.53003,0.84768,0.67223,0.60267,0.43566,0.86504,0.87856,0.000176169,0.000176169,0.000176169
39,420.675,0.56597,0.9692,0.91074,0.45988,0.89891,0.5331,0.4778,0.43989,0.94969,0.88162,0.000173416,0.000173416,0.000173416
40,431.396,0.56649,0.96866,0.91109,0.4607,0.87928,0.5136,0.4579,0.46257,0.98997,0.87974,0.000170664,0.000170664,0.000170664
41,442.067,0.56892,0.9693,0.91187,0.51973,0.83885,0.65187,0.5856,0.43742,0.8688,0.87424,0.000167912,0.000167912,0.000167912
42,452.733,0.55925,0.96642,0.90795,0.49988,0.8488,0.61911,0.55952,0.43108,0.91641,0.87168,0.00016516,0.00016516,0.00016516
43,463.442,0.5527,0.95785,0.9079,0.44029,0.92623,0.48758,0.43405,0.45348,1.01248,0.87874,0.000162408,0.000162408,0.000162408
44,474.101,0.54986,0.9401,0.90358,0.46029,0.89055,0.57271,0.52062,0.41146,0.91933,0.86771,0.000159655,0.000159655,0.000159655
45,484.766,0.54859,0.92828,0.90534,0.49537,0.85065,0.61223,0.55158,0.42064,0.90347,0.86843,0.000156903,0.000156903,0.000156903
46,495.479,0.54974,0.9325,0.89968,0.5476,0.81402,0.66242,0.59507,0.43544,0.85716,0.87725,0.000154151,0.000154151,0.000154151
47,506.141,0.55011,0.9121,0.90006,0.49728,0.83202,0.58893,0.53033,0.42591,0.91899,0.86803,0.000151399,0.000151399,0.000151399
48,516.807,0.54473,0.89091,0.89941,0.48708,0.89418,0.60858,0.55297,0.42603,0.89795,0.87185,0.000148647,0.000148647,0.000148647
49,527.526,0.54088,0.87573,0.89577,0.57674,0.79753,0.70054,0.63458,0.41496,0.80647,0.86729,0.000145894,0.000145894,0.000145894
50,538.277,0.5392,0.87705,0.90161,0.60173,0.82801,0.744,0.67658,0.40706,0.75196,0.86642,0.000143142,0.000143142,0.000143142
51,549.002,0.53644,0.86594,0.89891,0.50056,0.86447,0.63621,0.57595,0.41882,0.90558,0.86854,0.00014039,0.00014039,0.00014039
52,559.715,0.53561,0.83416,0.897,0.5774,0.81814,0.72345,0.6561,0.41737,0.78621,0.86906,0.000137638,0.000137638,0.000137638
53,570.375,0.53753,0.83425,0.89766,0.63156,0.80274,0.76794,0.70033,0.4094,0.70614,0.8647,0.000134886,0.000134886,0.000134886
54,581.095,0.53528,0.81672,0.89529,0.60318,0.81052,0.70349,0.64185,0.4104,0.77228,0.86387,0.000132133,0.000132133,0.000132133
55,591.801,0.53449,0.80343,0.89489,0.43837,0.83743,0.48944,0.43838,0.4404,1.16585,0.8719,0.000129381,0.000129381,0.000129381
56,602.446,0.5318,0.82514,0.89456,0.5124,0.80576,0.63007,0.57115,0.41024,0.89194,0.86318,0.000126629,0.000126629,0.000126629
57,613.096,0.52715,0.78976,0.89289,0.47147,0.88444,0.58532,0.53202,0.41137,0.94382,0.86413,0.000123877,0.000123877,0.000123877
58,623.815,0.5232,0.76026,0.89124,0.53535,0.7705,0.65021,0.59096,0.40692,0.90441,0.86327,0.000121125,0.000121125,0.000121125
59,634.466,0.52638,0.75796,0.89263,0.6416,0.78539,0.74556,0.67939,0.40556,0.74959,0.86118,0.000118372,0.000118372,0.000118372
60,645.135,0.52317,0.74492,0.89085,0.77165,0.82363,0.86365,0.78298,0.4172,0.5643,0.86702,0.00011562,0.00011562,0.00011562
61,655.905,0.52287,0.73101,0.89014,0.51926,0.82051,0.63219,0.57578,0.41855,0.9192,0.86636,0.000112868,0.000112868,0.000112868
62,666.559,0.51613,0.74201,0.88868,0.62819,0.81182,0.7514,0.68256,0.40901,0.74667,0.86167,0.000110116,0.000110116,0.000110116
63,677.217,0.5213,0.72354,0.89166,0.55812,0.78953,0.67119,0.6103,0.41016,0.84238,0.86245,0.000107364,0.000107364,0.000107364
64,687.927,0.51726,0.72803,0.88983,0.50151,0.8342,0.6353,0.57933,0.40935,0.90744,0.86092,0.000104611,0.000104611,0.000104611
65,698.582,0.50813,0.69223,0.88905,0.65581,0.81691,0.76697,0.70181,0.40528,0.6902,0.86022,0.000101859,0.000101859,0.000101859
66,709.246,0.51201,0.69124,0.88605,0.65954,0.82714,0.78862,0.72082,0.40517,0.68641,0.85981,9.9107e-05,9.9107e-05,9.9107e-05
67,719.949,0.50649,0.68272,0.88698,0.59881,0.80541,0.73235,0.67206,0.39613,0.79817,0.8592,9.63548e-05,9.63548e-05,9.63548e-05
68,730.608,0.50626,0.6774,0.88799,0.65393,0.83127,0.77669,0.71333,0.39242,0.67412,0.85677,9.36026e-05,9.36026e-05,9.36026e-05
