epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.952,1.0518,4.18018,1.08226,0.10069,0.52931,0.1223,0.10615,0.51623,inf,0.858,7.784e-05,7.784e-05,7.784e-05
2,20.07,0.60718,1.83397,0.86892,0.34869,0.57478,0.32584,0.28884,0.45053,1.73273,0.82837,0.000156891,0.000156891,0.000156891
3,26.1206,0.54338,1.33868,0.85418,0.3979,0.69496,0.40848,0.36472,0.4379,1.44713,0.82486,0.000234346,0.000234346,0.000234346
4,32.1983,0.52432,1.2002,0.84785,0.47122,0.76082,0.47615,0.43057,0.41275,1.17102,0.81936,0.000269743,0.000269743,0.000269743
5,38.2722,0.51068,1.13655,0.84568,0.42659,0.86968,0.51433,0.47098,0.3799,1.04337,0.81359,0.000266991,0.000266991,0.000266991
6,44.411,0.49122,1.06026,0.83929,0.50951,0.83935,0.55781,0.51065,0.38981,1.00753,0.81594,0.000264239,0.000264239,0.000264239
7,50.4375,0.48629,1.05001,0.83887,0.50412,0.78463,0.49977,0.45577,0.37158,1.01755,0.81337,0.000261487,0.000261487,0.000261487
8,56.4316,0.47657,1.00671,0.83754,0.47433,0.8668,0.51611,0.47449,0.36961,1.00761,0.81055,0.000258735,0.000258735,0.000258735
9,62.3886,0.47113,0.99264,0.8371,0.4561,0.87238,0.58994,0.53788,0.41446,0.96009,0.81892,0.000255982,0.000255982,0.000255982
10,68.3837,0.46183,0.98097,0.83477,0.46154,0.88193,0.58683,0.5457,0.36001,0.91805,0.80813,0.00025323,0.00025323,0.00025323
11,74.5066,0.45327,0.95744,0.83153,0.57626,0.79812,0.66994,0.62,0.36827,0.87559,0.81166,0.000250478,0.000250478,0.000250478
12,80.5171,0.45339,0.95456,0.83212,0.61643,0.78027,0.72843,0.67346,0.35527,0.84065,0.80911,0.000247726,0.000247726,0.000247726
13,86.5094,0.44891,0.9177,0.83246,0.56321,0.80865,0.70042,0.65104,0.34783,0.81807,0.80567,0.000244974,0.000244974,0.000244974
14,92.587,0.44922,0.89724,0.82962,0.46437,0.82108,0.52715,0.48852,0.36062,1.03907,0.8094,0.000242221,0.000242221,0.000242221
15,98.5557,0.44952,0.85237,0.82988,0.48481,0.84019,0.63417,0.58819,0.36822,0.90748,0.80981,0.000239469,0.000239469,0.000239469
16,104.603,0.44644,0.8336,0.8305,0.51443,0.81993,0.64501,0.59223,0.37307,0.94076,0.81046,0.000236717,0.000236717,0.000236717
17,110.581,0.44291,0.81892,0.82696,0.69875,0.7612,0.79737,0.74031,0.36127,0.69676,0.81237,0.000233965,0.000233965,0.000233965
18,116.588,0.44038,0.81029,0.83107,0.60956,0.83362,0.79415,0.74083,0.34324,0.68635,0.80592,0.000231213,0.000231213,0.000231213
19,122.584,0.43699,0.76501,0.82887,0.68342,0.79316,0.81424,0.75703,0.35034,0.67981,0.80709,0.00022846,0.00022846,0.00022846
20,128.593,0.43463,0.75481,0.82542,0.60608,0.83695,0.81066,0.7582,0.33925,0.70497,0.80626,0.000225708,0.000225708,0.000225708
21,134.63,0.43223,0.74216,0.82771,0.69294,0.72846,0.78115,0.72997,0.34511,0.74781,0.80672,0.000222956,0.000222956,0.000222956
22,140.698,0.42764,0.72491,0.82561,0.69956,0.72112,0.76561,0.71473,0.34937,0.75382,0.80643,0.000220204,0.000220204,0.000220204
23,146.71,0.4318,0.71787,0.82755,0.59004,0.77486,0.71453,0.66314,0.35406,0.8559,0.80865,0.000217452,0.000217452,0.000217452
24,152.653,0.42996,0.67369,0.82736,0.70684,0.75221,0.79761,0.74594,0.33753,0.7202,0.80467,0.000214699,0.000214699,0.000214699
25,158.699,0.42293,0.69474,0.82297,0.64684,0.80648,0.77435,0.72367,0.3429,0.67684,0.80655,0.000211947,0.000211947,0.000211947
26,164.64,0.42262,0.66258,0.82746,0.68351,0.82803,0.8351,0.77694,0.34005,0.63619,0.80582,0.000209195,0.000209195,0.000209195
27,170.745,0.42048,0.63381,0.8253,0.71654,0.81213,0.83684,0.78334,0.34442,0.6193,0.80576,0.000206443,0.000206443,0.000206443
28,176.762,0.41634,0.60586,0.82349,0.66966,0.81596,0.80151,0.75008,0.34446,0.72635,0.80795,0.000203691,0.000203691,0.000203691
29,182.783,0.41703,0.61865,0.82542,0.60675,0.81133,0.72114,0.67409,0.33758,0.76341,0.80517,0.000200938,0.000200938,0.000200938
30,188.825,0.41943,0.64374,0.82505,0.74384,0.7966,0.84386,0.79547,0.33432,0.61007,0.80462,0.000198186,0.000198186,0.000198186
31,194.812,0.4176,0.60849,0.82374,0.75475,0.78401,0.83521,0.78143,0.33764,0.64954,0.80557,0.000195434,0.000195434,0.000195434
32,200.764,0.41691,0.58594,0.82384,0.77091,0.81229,0.8565,0.80502,0.33571,0.58626,0.80559,0.000192682,0.000192682,0.000192682
33,206.818,0.41041,0.57911,0.82103,0.73625,0.79416,0.83289,0.78192,0.33662,0.61347,0.80508,0.00018993,0.00018993,0.00018993
34,212.794,0.41057,0.5658,0.82345,0.76257,0.87968,0.88758,0.83425,0.33041,0.52121,0.80249,0.000187177,0.000187177,0.000187177
35,218.879,0.41222,0.55375,0.82383,0.75643,0.7963,0.85031,0.79916,0.33689,0.603,0.8051,0.000184425,0.000184425,0.000184425
36,224.807,0.40903,0.55043,0.82192,0.75168,0.80852,0.8341,0.7852,0.33465,0.54962,0.80468,0.000181673,0.000181673,0.000181673
37,230.755,0.40551,0.53022,0.82072,0.74633,0.81772,0.85935,0.80663,0.33916,0.61036,0.80562,0.000178921,0.000178921,0.000178921
38,236.709,0.40866,0.53806,0.82143,0.81224,0.85407,0.8934,0.83934,0.33024,0.5163,0.80353,0.000176169,0.000176169,0.000176169
39,242.757,0.39553,0.51382,0.81946,0.75642,0.86845,0.89427,0.84076,0.3291,0.51569,0.80388,0.000173416,0.000173416,0.000173416
40,248.798,0.40506,0.54246,0.82243,0.74441,0.82184,0.85547,0.8055,0.33451,0.6082,0.80566,0.000170664,0.000170664,0.000170664
41,254.793,0.4058,0.51662,0.82005,0.70872,0.82531,0.80988,0.76321,0.33092,0.61738,0.80512,0.000167912,0.000167912,0.000167912
42,260.767,0.40201,0.4983,0.8203,0.68309,0.78374,0.79805,0.75124,0.33328,0.69512,0.80464,0.00016516,0.00016516,0.00016516
43,266.709,0.3974,0.49274,0.82159,0.7551,0.84287,0.86552,0.81577,0.32379,0.55568,0.80397,0.000162408,0.000162408,0.000162408
44,272.672,0.39852,0.4898,0.82113,0.80167,0.79855,0.86256,0.8116,0.33386,0.59725,0.80686,0.000159655,0.000159655,0.000159655
45,278.627,0.39746,0.47851,0.82103,0.81042,0.81189,0.88067,0.82995,0.32593,0.54903,0.80393,0.000156903,0.000156903,0.000156903
46,284.576,0.39748,0.45637,0.81861,0.79442,0.83893,0.88568,0.83491,0.32665,0.58347,0.80338,0.000154151,0.000154151,0.000154151
47,290.622,0.39594,0.45286,0.81937,0.79146,0.86774,0.90066,0.85079,0.32232,0.52169,0.80329,0.000151399,0.000151399,0.000151399
48,296.633,0.39422,0.46296,0.81881,0.78818,0.79238,0.85013,0.80533,0.32257,0.59955,0.80314,0.000148647,0.000148647,0.000148647
49,302.59,0.38957,0.46021,0.81766,0.70698,0.79468,0.78946,0.74353,0.32985,0.65411,0.80548,0.000145894,0.000145894,0.000145894
50,308.522,0.38867,0.46485,0.81992,0.7441,0.85203,0.86655,0.81734,0.3255,0.54826,0.80347,0.000143142,0.000143142,0.000143142
51,314.507,0.38924,0.45662,0.81928,0.75141,0.84159,0.84439,0.79745,0.32922,0.57119,0.80382,0.00014039,0.00014039,0.00014039
52,320.49,0.39,0.43907,0.81953,0.74935,0.81468,0.83614,0.78715,0.32287,0.62604,0.80325,0.000137638,0.000137638,0.000137638
53,326.474,0.38698,0.43531,0.81733,0.7278,0.85347,0.85026,0.80367,0.3172,0.60747,0.80054,0.000134886,0.000134886,0.000134886
54,332.445,0.389,0.45004,0.81683,0.73574,0.81171,0.82634,0.78066,0.32012,0.6756,0.80335,0.000132133,0.000132133,0.000132133
55,338.419,0.3876,0.43131,0.81744,0.75717,0.83742,0.85743,0.81151,0.32017,0.59938,0.80261,0.000129381,0.000129381,0.000129381
56,344.36,0.38731,0.42946,0.8179,0.72736,0.80238,0.81898,0.7741,0.32435,0.66326,0.80357,0.000126629,0.000126629,0.000126629
57,350.392,0.38334,0.41183,0.81571,0.82427,0.85619,0.90107,0.85398,0.31757,0.52149,0.80161,0.000123877,0.000123877,0.000123877
58,356.389,0.38328,0.40822,0.81545,0.80563,0.84223,0.88408,0.83327,0.31844,0.52515,0.80213,0.000121125,0.000121125,0.000121125
59,362.348,0.38418,0.40802,0.81711,0.81858,0.81729,0.88319,0.83496,0.32634,0.56777,0.80388,0.000118372,0.000118372,0.000118372
60,368.305,0.38459,0.40546,0.81581,0.8198,0.82672,0.88409,0.83739,0.3188,0.57232,0.80117,0.00011562,0.00011562,0.00011562
61,374.281,0.38081,0.40211,0.8149,0.7746,0.8131,0.85429,0.81039,0.31682,0.61252,0.80116,0.000112868,0.000112868,0.000112868
62,380.246,0.37321,0.38912,0.81395,0.83246,0.86282,0.91417,0.86547,0.3157,0.50941,0.80238,0.000110116,0.000110116,0.000110116
63,386.311,0.37521,0.38647,0.81574,0.85893,0.81019,0.90594,0.85813,0.32085,0.54853,0.80299,0.000107364,0.000107364,0.000107364
64,392.243,0.37873,0.3969,0.81574,0.7886,0.82822,0.88262,0.83468,0.3231,0.56419,0.8026,0.000104611,0.000104611,0.000104611
65,398.242,0.37522,0.38627,0.81649,0.74466,0.82378,0.83717,0.79371,0.31718,0.68906,0.80144,0.000101859,0.000101859,0.000101859
66,404.241,0.37874,0.38195,0.81545,0.90149,0.81474,0.92006,0.87463,0.31444,0.47691,0.80165,9.9107e-05,9.9107e-05,9.9107e-05
67,410.232,0.37145,0.37935,0.8157,0.85849,0.84484,0.91559,0.86951,0.31625,0.49043,0.80194,9.63548e-05,9.63548e-05,9.63548e-05
68,416.199,0.3726,0.36997,0.81527,0.88,0.80016,0.90141,0.85714,0.31502,0.52979,0.80104,9.36026e-05,9.36026e-05,9.36026e-05
69,422.237,0.37007,0.3655,0.8147,0.75195,0.78918,0.81931,0.77593,0.32167,0.72052,0.80298,9.08504e-05,9.08504e-05,9.08504e-05
70,428.264,0.37144,0.3762,0.8153,0.82219,0.84348,0.89534,0.85257,0.31019,0.54709,0.80018,8.80982e-05,8.80982e-05,8.80982e-05
71,434.223,0.36779,0.3555,0.81314,0.79202,0.84595,0.86507,0.8205,0.31512,0.57492,0.80189,8.5346e-05,8.5346e-05,8.5346e-05
72,440.268,0.36783,0.34796,0.81377,0.83185,0.83627,0.88807,0.84446,0.31274,0.50304,0.80138,8.25938e-05,8.25938e-05,8.25938e-05
73,446.238,0.36756,0.35474,0.81365,0.82791,0.85643,0.88102,0.83602,0.317,0.50782,0.80203,7.98416e-05,7.98416e-05,7.98416e-05
74,452.257,0.36653,0.34946,0.81373,0.80034,0.83453,0.86512,0.82362,0.31129,0.57612,0.8005,7.70894e-05,7.70894e-05,7.70894e-05
75,458.309,0.36655,0.35521,0.8138,0.76555,0.82812,0.84982,0.80829,0.31345,0.63755,0.80158,7.43372e-05,7.43372e-05,7.43372e-05
76,464.331,0.36876,0.33139,0.81401,0.87842,0.82002,0.90992,0.86678,0.31069,0.51858,0.80061,7.1585e-05,7.1585e-05,7.1585e-05
77,470.297,0.36594,0.34119,0.81342,0.85143,0.8092,0.89354,0.85067,0.31006,0.55263,0.80022,6.88328e-05,6.88328e-05,6.88328e-05
78,476.263,0.36485,0.33271,0.81373,0.83009,0.79389,0.87334,0.83178,0.31047,0.59109,0.80065,6.60806e-05,6.60806e-05,6.60806e-05
79,482.262,0.36404,0.33871,0.8121,0.82228,0.83786,0.90454,0.86102,0.31051,0.54836,0.8007,6.33284e-05,6.33284e-05,6.33284e-05
80,488.316,0.36358,0.33344,0.81396,0.83275,0.84867,0.9075,0.86491,0.30688,0.48569,0.79971,6.05762e-05,6.05762e-05,6.05762e-05
81,494.337,0.36155,0.33108,0.81307,0.80346,0.88063,0.89549,0.85379,0.30792,0.51931,0.80027,5.7824e-05,5.7824e-05,5.7824e-05
82,500.335,0.35987,0.32112,0.8133,0.81472,0.82131,0.87609,0.83498,0.31114,0.57069,0.80101,5.50718e-05,5.50718e-05,5.50718e-05
83,506.315,0.3593,0.3248,0.80987,0.80069,0.8574,0.8904,0.85074,0.30923,0.54816,0.80028,5.23196e-05,5.23196e-05,5.23196e-05
84,512.273,0.36025,0.32892,0.81255,0.84367,0.84849,0.90596,0.86385,0.31073,0.51164,0.80092,4.95674e-05,4.95674e-05,4.95674e-05
85,518.252,0.36133,0.32474,0.81308,0.83698,0.85534,0.89801,0.85556,0.30984,0.51361,0.80078,4.68152e-05,4.68152e-05,4.68152e-05
86,524.235,0.35584,0.31674,0.80922,0.83228,0.84076,0.88447,0.84198,0.30911,0.5557,0.80168,4.4063e-05,4.4063e-05,4.4063e-05
87,530.217,0.35548,0.30951,0.81255,0.83253,0.85267,0.89668,0.85496,0.30879,0.52889,0.80058,4.13108e-05,4.13108e-05,4.13108e-05
88,536.2,0.35438,0.30755,0.81117,0.85122,0.88063,0.9259,0.88428,0.30781,0.48564,0.80034,3.85586e-05,3.85586e-05,3.85586e-05
89,542.161,0.35321,0.31354,0.81239,0.8615,0.84198,0.90621,0.8643,0.30699,0.50838,0.80068,3.58064e-05,3.58064e-05,3.58064e-05
90,548.112,0.35799,0.31717,0.81131,0.82073,0.87142,0.89222,0.84957,0.3097,0.52607,0.80086,3.30542e-05,3.30542e-05,3.30542e-05
91,554.663,0.31244,0.22157,0.79243,0.83341,0.87192,0.90376,0.85981,0.31209,0.50825,0.80144,3.0302e-05,3.0302e-05,3.0302e-05
92,560.456,0.30913,0.21405,0.7907,0.86883,0.84682,0.90474,0.86176,0.30965,0.50985,0.80078,2.75498e-05,2.75498e-05,2.75498e-05
93,566.233,0.31141,0.21104,0.79118,0.83088,0.85661,0.89207,0.84992,0.30902,0.55826,0.80054,2.47976e-05,2.47976e-05,2.47976e-05
94,572.051,0.30808,0.21224,0.78868,0.84516,0.86153,0.90757,0.86471,0.31,0.5143,0.80061,2.20454e-05,2.20454e-05,2.20454e-05
95,577.82,0.30641,0.20399,0.79151,0.84275,0.84916,0.89471,0.85268,0.30939,0.54485,0.80087,1.92932e-05,1.92932e-05,1.92932e-05
96,583.657,0.30366,0.20571,0.78923,0.84588,0.86589,0.90352,0.86159,0.30695,0.52167,0.80108,1.6541e-05,1.6541e-05,1.6541e-05
97,589.429,0.30357,0.20249,0.79017,0.85295,0.84982,0.90213,0.86067,0.30455,0.53298,0.79955,1.37888e-05,1.37888e-05,1.37888e-05
98,595.201,0.30204,0.20106,0.7881,0.80767,0.87677,0.89645,0.85631,0.30626,0.55537,0.80027,1.10366e-05,1.10366e-05,1.10366e-05
99,600.95,0.29925,0.19906,0.79044,0.86713,0.84473,0.90971,0.86816,0.30543,0.52253,0.79985,8.2844e-06,8.2844e-06,8.2844e-06
100,606.786,0.30153,0.2001,0.79031,0.86029,0.84537,0.90847,0.86784,0.30588,0.5327,0.80025,5.5322e-06,5.5322e-06,5.5322e-06
