epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90971,5.0207,5.62128,4.19592,0,0,0,0,5.24321,5.30853,4.17422,7.784e-05,7.784e-05,7.784e-05
2,13.7085,3.97575,5.14014,3.83879,0,0,0,0,5.37856,5.32569,4.28559,0.000156891,0.000156891,0.000156891
3,19.4734,2.86375,3.89984,3.26689,0,0,0,0,5.5338,5.38909,4.39484,0.000234346,0.000234346,0.000234346
4,25.2888,2.07255,2.93442,2.32547,0,0,0,0,5.61582,5.43997,4.48123,0.000269743,0.000269743,0.000269743
5,31.1762,1.72108,2.50711,1.81568,0.02787,0.00575,0.0153,0.00532,4.77852,5.03564,3.74812,0.000266991,0.000266991,0.000266991
6,37.3091,1.49159,2.14561,1.56264,0.2959,0.23798,0.13897,0.07287,1.76702,2.69609,2.0086,0.000264239,0.000264239,0.000264239
7,43.4155,1.36229,1.93247,1.43657,0.35382,0.47121,0.28168,0.18937,1.28356,1.96515,1.52789,0.000261487,0.000261487,0.000261487
8,49.4962,1.23432,1.76578,1.34216,0.43825,0.55284,0.36724,0.26478,1.03637,1.71235,1.30261,0.000258735,0.000258735,0.000258735
9,55.5723,1.17486,1.66025,1.29074,0.50315,0.70336,0.43691,0.32405,0.93981,1.41578,1.22826,0.000255982,0.000255982,0.000255982
10,61.6631,1.10977,1.58142,1.23047,0.50121,0.70344,0.44914,0.30388,1.16332,1.4135,1.2962,0.00025323,0.00025323,0.00025323
11,67.772,1.02938,1.51818,1.19058,0.51339,0.73557,0.45031,0.34685,0.85108,1.32293,1.13684,0.000250478,0.000250478,0.000250478
12,73.8525,0.99833,1.47797,1.16035,0.52226,0.73615,0.45483,0.35726,0.80549,1.27909,1.11944,0.000247726,0.000247726,0.000247726
13,79.9703,0.95508,1.42223,1.13589,0.52381,0.75238,0.46293,0.36833,0.77256,1.24772,1.07667,0.000244974,0.000244974,0.000244974
14,86.0843,0.92791,1.37984,1.10735,0.51066,0.75617,0.46039,0.35908,0.81179,1.28441,1.09058,0.000242221,0.000242221,0.000242221
15,92.0821,0.91498,1.3536,1.09248,0.4999,0.77706,0.46463,0.37359,0.73634,1.19779,1.04329,0.000239469,0.000239469,0.000239469
16,98.169,0.88783,1.32633,1.07436,0.39269,0.81899,0.47694,0.3938,0.6758,1.15993,1.01336,0.000236717,0.000236717,0.000236717
17,104.193,0.87166,1.31168,1.06317,0.46523,0.75697,0.46671,0.38353,0.69905,1.24011,1.01787,0.000233965,0.000233965,0.000233965
18,110.18,0.84898,1.28454,1.05479,0.44769,0.83352,0.4928,0.40262,0.68825,1.13877,1.00594,0.000231213,0.000231213,0.000231213
19,116.254,0.82418,1.25757,1.03661,0.53346,0.78123,0.49434,0.41267,0.646,1.14743,0.99144,0.00022846,0.00022846,0.00022846
20,122.278,0.80474,1.24008,1.0247,0.46883,0.81867,0.4984,0.41915,0.61904,1.10083,0.98056,0.000225708,0.000225708,0.000225708
21,128.301,0.79759,1.24365,1.02306,0.46119,0.85926,0.52279,0.43513,0.63466,1.08623,0.97675,0.000222956,0.000222956,0.000222956
22,134.378,0.77342,1.21399,1.00655,0.45375,0.83283,0.49767,0.41767,0.61338,1.12879,0.97068,0.000220204,0.000220204,0.000220204
23,140.343,0.77209,1.19846,1.00265,0.44714,0.84682,0.49876,0.41561,0.63209,1.08693,0.97833,0.000217452,0.000217452,0.000217452
24,146.371,0.78722,1.20514,1.00773,0.46064,0.85532,0.50436,0.42045,0.65448,1.09331,0.97519,0.000214699,0.000214699,0.000214699
25,152.361,0.75506,1.17979,0.99166,0.48032,0.87129,0.51443,0.43682,0.58632,1.06672,0.95161,0.000211947,0.000211947,0.000211947
26,158.395,0.75327,1.1757,0.99461,0.44677,0.85057,0.51454,0.43857,0.5899,1.05919,0.95163,0.000209195,0.000209195,0.000209195
27,164.394,0.73845,1.1598,0.98592,0.45232,0.86676,0.52729,0.4496,0.58232,1.04359,0.95005,0.000206443,0.000206443,0.000206443
28,170.476,0.72675,1.14276,0.98187,0.47149,0.86928,0.51548,0.44034,0.56048,1.049,0.93747,0.000203691,0.000203691,0.000203691
29,176.533,0.73007,1.15507,0.98395,0.44795,0.84137,0.51449,0.43733,0.57047,1.08846,0.93811,0.000200938,0.000200938,0.000200938
30,182.519,0.72079,1.14014,0.97564,0.46275,0.86787,0.5385,0.46006,0.56956,1.03558,0.93921,0.000198186,0.000198186,0.000198186
31,188.573,0.71794,1.13034,0.96924,0.4711,0.86628,0.52931,0.44699,0.60955,1.01793,0.94595,0.000195434,0.000195434,0.000195434
32,194.556,0.71202,1.11951,0.96813,0.49693,0.88119,0.57956,0.49201,0.56648,0.99112,0.94507,0.000192682,0.000192682,0.000192682
33,200.581,0.69519,1.1051,0.95814,0.49137,0.80879,0.57724,0.49763,0.56047,0.98499,0.92625,0.00018993,0.00018993,0.00018993
34,206.645,0.69669,1.10282,0.96329,0.45548,0.86407,0.52324,0.45062,0.5397,1.03192,0.92387,0.000187177,0.000187177,0.000187177
35,212.664,0.69046,1.09304,0.95653,0.44607,0.91615,0.49932,0.42911,0.55429,1.03668,0.92472,0.000184425,0.000184425,0.000184425
36,218.651,0.69706,1.08714,0.95949,0.46395,0.90279,0.51959,0.44989,0.53245,1.01517,0.91877,0.000181673,0.000181673,0.000181673
37,224.644,0.68187,1.09302,0.95238,0.46803,0.90244,0.52648,0.45519,0.52735,1.00513,0.91637,0.000178921,0.000178921,0.000178921
38,230.618,0.68556,1.0828,0.95194,0.49852,0.83502,0.59419,0.51056,0.53973,0.98758,0.91992,0.000176169,0.000176169,0.000176169
39,236.606,0.66797,1.07033,0.94835,0.47526,0.90744,0.58774,0.50919,0.53322,0.96053,0.91856,0.000173416,0.000173416,0.000173416
40,242.605,0.67661,1.07803,0.95022,0.46709,0.89049,0.55463,0.48541,0.518,0.99186,0.91419,0.000170664,0.000170664,0.000170664
41,248.584,0.66637,1.06053,0.94229,0.46815,0.90051,0.56435,0.48915,0.52946,0.97692,0.91378,0.000167912,0.000167912,0.000167912
42,254.558,0.65751,1.0588,0.94176,0.46899,0.91921,0.54338,0.47493,0.51635,0.98141,0.9119,0.00016516,0.00016516,0.00016516
43,260.526,0.65397,1.0502,0.94291,0.47823,0.88828,0.5504,0.47829,0.51598,0.97501,0.9082,0.000162408,0.000162408,0.000162408
44,266.499,0.64387,1.04579,0.93667,0.4722,0.91572,0.53951,0.46885,0.52481,0.98404,0.90887,0.000159655,0.000159655,0.000159655
45,272.528,0.64599,1.03765,0.9371,0.4675,0.88415,0.56195,0.49032,0.50709,0.96507,0.90626,0.000156903,0.000156903,0.000156903
46,278.513,0.64853,1.03859,0.93125,0.47557,0.92097,0.53649,0.47015,0.50307,0.98264,0.90609,0.000154151,0.000154151,0.000154151
47,284.482,0.64204,1.03341,0.93227,0.43475,0.87836,0.49863,0.43755,0.50771,1.05092,0.90334,0.000151399,0.000151399,0.000151399
48,290.472,0.64142,1.02757,0.9297,0.4575,0.92322,0.49239,0.43004,0.49908,1.01582,0.90105,0.000148647,0.000148647,0.000148647
49,296.461,0.63505,1.02956,0.92888,0.47594,0.89061,0.53539,0.47049,0.48628,0.97,0.89728,0.000145894,0.000145894,0.000145894
50,302.455,0.6298,1.02638,0.93037,0.50573,0.90839,0.6536,0.57423,0.48773,0.90255,0.89425,0.000143142,0.000143142,0.000143142
51,308.451,0.62915,1.0222,0.92902,0.48297,0.91733,0.57782,0.50961,0.48275,0.94306,0.89708,0.00014039,0.00014039,0.00014039
52,314.446,0.62385,1.00435,0.92562,0.47357,0.89897,0.55462,0.49005,0.47592,0.96367,0.8908,0.000137638,0.000137638,0.000137638
53,320.445,0.61661,1.00168,0.9233,0.45696,0.90682,0.50335,0.44369,0.48304,1.00769,0.89702,0.000134886,0.000134886,0.000134886
54,326.439,0.61872,1.00505,0.92106,0.45665,0.90329,0.4947,0.43347,0.5046,1.03602,0.90147,0.000132133,0.000132133,0.000132133
55,332.399,0.61746,1.00249,0.92104,0.4667,0.87939,0.54188,0.47899,0.47547,0.96873,0.89255,0.000129381,0.000129381,0.000129381
56,338.509,0.6161,1.00096,0.92071,0.52142,0.89304,0.61457,0.53762,0.47761,0.90345,0.8941,0.000126629,0.000126629,0.000126629
57,344.463,0.61053,0.98677,0.91851,0.47466,0.89979,0.56472,0.49886,0.47996,0.95133,0.8913,0.000123877,0.000123877,0.000123877
58,350.542,0.61035,0.984,0.91595,0.52836,0.84621,0.64159,0.56113,0.48938,0.9086,0.89627,0.000121125,0.000121125,0.000121125
59,356.513,0.61387,0.97931,0.91921,0.50306,0.88519,0.61809,0.54493,0.47197,0.91239,0.88959,0.000118372,0.000118372,0.000118372
60,362.495,0.61117,0.97882,0.91593,0.53599,0.83484,0.65781,0.58554,0.45901,0.88834,0.88713,0.00011562,0.00011562,0.00011562
61,368.508,0.60459,0.97836,0.9143,0.45501,0.88783,0.52863,0.46853,0.46518,0.99116,0.88708,0.000112868,0.000112868,0.000112868
62,374.489,0.59292,0.97334,0.91317,0.56722,0.84177,0.70792,0.63038,0.46327,0.84906,0.88376,0.000110116,0.000110116,0.000110116
63,380.488,0.59207,0.96256,0.91283,0.48292,0.89301,0.57122,0.50745,0.46241,0.95568,0.8845,0.000107364,0.000107364,0.000107364
64,386.492,0.59819,0.94716,0.91502,0.51053,0.82332,0.62551,0.55591,0.47116,0.9307,0.88505,0.000104611,0.000104611,0.000104611
65,392.511,0.60501,0.94339,0.91794,0.5703,0.80761,0.6895,0.61407,0.47604,0.87117,0.8896,0.000101859,0.000101859,0.000101859
66,398.582,0.5991,0.93047,0.91229,0.69655,0.82363,0.83982,0.74869,0.46451,0.71996,0.8848,9.9107e-05,9.9107e-05,9.9107e-05
67,404.603,0.5896,0.92732,0.91311,0.66619,0.82946,0.81781,0.72764,0.4694,0.75533,0.89019,9.63548e-05,9.63548e-05,9.63548e-05
68,410.594,0.59097,0.8994,0.91478,0.57737,0.82961,0.72494,0.64643,0.45942,0.82337,0.88459,9.36026e-05,9.36026e-05,9.36026e-05
69,416.556,0.58797,0.88822,0.91121,0.49196,0.84331,0.57817,0.51078,0.4747,0.97035,0.89162,9.08504e-05,9.08504e-05,9.08504e-05
70,422.519,0.58547,0.8767,0.90979,0.64358,0.7961,0.7563,0.67147,0.46094,0.78388,0.88539,8.80982e-05,8.80982e-05,8.80982e-05
71,428.52,0.58505,0.8567,0.91,0.53498,0.84607,0.67782,0.60385,0.46057,0.85126,0.88476,8.5346e-05,8.5346e-05,8.5346e-05
72,434.48,0.58564,0.85136,0.90789,0.4696,0.8345,0.54277,0.48068,0.47306,1.07474,0.88929,8.25938e-05,8.25938e-05,8.25938e-05
73,440.474,0.58075,0.84951,0.90764,0.48806,0.77782,0.56163,0.50042,0.46938,1.0227,0.88571,7.98416e-05,7.98416e-05,7.98416e-05
74,446.485,0.58134,0.83669,0.90873,0.79188,0.79861,0.85996,0.76895,0.45146,0.63093,0.87977,7.70894e-05,7.70894e-05,7.70894e-05
75,452.515,0.57947,0.80877,0.90898,0.75962,0.83786,0.85426,0.76057,0.46256,0.62604,0.88717,7.43372e-05,7.43372e-05,7.43372e-05
