epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.042,4.72458,5.84018,4.03121,0,0,0,0,5.08428,5.51644,3.96997,6.265e-05,6.265e-05,6.265e-05
2,43.1195,3.57743,5.46892,3.28204,0.00285,0.05219,0.00177,0.00052,2.78885,4.94097,2.94747,0.000124406,0.000124406,0.000124406
3,64.2233,2.9487,4.91446,2.73591,0.01027,0.16263,0.00746,0.00237,2.64981,4.19638,2.60027,0.000184915,0.000184915,0.000184915
4,85.4496,2.5877,4.10367,2.31616,0.05903,0.14311,0.02544,0.01088,2.07101,3.61383,2.14197,0.000183387,0.000183387,0.000183387
5,106.578,2.27233,3.46325,2.04197,0.08575,0.13829,0.0435,0.0218,1.83658,2.98291,1.96331,0.000181516,0.000181516,0.000181516
6,127.674,2.04289,3.15815,1.84739,0.11489,0.19,0.07008,0.03784,1.68743,2.78324,1.77324,0.000179645,0.000179645,0.000179645
7,148.864,1.84716,2.93613,1.69924,0.14223,0.22865,0.10395,0.06307,1.49292,2.53324,1.6299,0.000177773,0.000177773,0.000177773
8,170.057,1.711,2.75976,1.579,0.1648,0.31118,0.13538,0.08613,1.35572,2.39994,1.4551,0.000175902,0.000175902,0.000175902
9,191.176,1.60329,2.61585,1.49967,0.22666,0.34928,0.16881,0.10606,1.3978,2.28063,1.47696,0.000174031,0.000174031,0.000174031
10,212.41,1.51072,2.48287,1.43053,0.28914,0.41346,0.20372,0.14207,1.15468,2.10493,1.31816,0.00017216,0.00017216,0.00017216
11,233.585,1.42447,2.35784,1.37639,0.31255,0.45032,0.2299,0.15351,1.23332,2.05964,1.34021,0.000170289,0.000170289,0.000170289
12,254.74,1.37036,2.2344,1.3305,0.34973,0.5262,0.27873,0.20035,1.08343,1.91029,1.25752,0.000168418,0.000168418,0.000168418
13,276.001,1.3548,2.16589,1.31034,0.37603,0.56064,0.30719,0.22252,1.0251,1.82986,1.19772,0.000166547,0.000166547,0.000166547
14,297.061,1.30741,2.07453,1.28172,0.42489,0.58872,0.33472,0.24574,0.99553,1.74688,1.17472,0.000164676,0.000164676,0.000164676
15,318.18,1.2772,1.99674,1.25792,0.45502,0.62233,0.3609,0.26793,0.97464,1.63687,1.15822,0.000162805,0.000162805,0.000162805
16,339.278,1.2324,1.94144,1.2334,0.47135,0.64472,0.38813,0.292,0.93672,1.57655,1.12567,0.000160934,0.000160934,0.000160934
17,360.373,1.19924,1.8746,1.21826,0.46674,0.64547,0.38866,0.29495,0.90736,1.56512,1.11387,0.000159062,0.000159062,0.000159062
18,381.475,1.19043,1.83646,1.20643,0.48468,0.66186,0.40331,0.30591,0.8905,1.50273,1.10683,0.000157191,0.000157191,0.000157191
19,402.619,1.14177,1.77562,1.1821,0.49643,0.69717,0.4137,0.3185,0.87365,1.45334,1.08121,0.00015532,0.00015532,0.00015532
20,423.646,1.11432,1.74684,1.16728,0.51034,0.69584,0.42512,0.33057,0.8433,1.42275,1.06376,0.000153449,0.000153449,0.000153449
21,444.699,1.10442,1.70546,1.15096,0.5075,0.69868,0.42593,0.33097,0.84364,1.40968,1.05664,0.000151578,0.000151578,0.000151578
22,465.77,1.08842,1.68097,1.13548,0.50753,0.69136,0.41974,0.32737,0.83201,1.41347,1.05763,0.000149707,0.000149707,0.000149707
23,486.837,1.07738,1.65116,1.13223,0.51538,0.72529,0.43735,0.33766,0.82698,1.36099,1.05333,0.000147836,0.000147836,0.000147836
24,507.872,1.059,1.63347,1.12418,0.49279,0.68073,0.41111,0.32272,0.81088,1.42743,1.0366,0.000145965,0.000145965,0.000145965
25,528.927,1.03804,1.61213,1.11621,0.5253,0.74874,0.43997,0.34734,0.794,1.31677,1.03153,0.000144094,0.000144094,0.000144094
26,549.925,1.02728,1.59128,1.11229,0.5206,0.73812,0.43359,0.34004,0.81908,1.33224,1.03428,0.000142222,0.000142222,0.000142222
27,570.881,1.01579,1.57337,1.09816,0.51906,0.72666,0.43587,0.34474,0.77967,1.32286,1.01905,0.000140351,0.000140351,0.000140351
28,591.891,1.01081,1.54865,1.09457,0.52223,0.75752,0.43675,0.3476,0.77004,1.28769,1.01208,0.00013848,0.00013848,0.00013848
