epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2618,0.59775,2.13875,0.91513,0.47204,0.77701,0.45799,0.42147,0.37425,1.12076,0.83119,9.20231e-05,9.20231e-05,9.20231e-05
2,44.0705,0.47711,1.1187,0.85728,0.49063,0.80078,0.50941,0.47043,0.36577,0.99392,0.82634,0.000182861,0.000182861,0.000182861
3,65.8515,0.4747,1.06407,0.85613,0.49543,0.81542,0.52009,0.48085,0.35974,0.99246,0.8297,0.000271865,0.000271865,0.000271865
4,87.522,0.46595,1.02066,0.85128,0.54487,0.79687,0.58637,0.54325,0.35146,0.91693,0.82207,0.000269743,0.000269743,0.000269743
5,109.255,0.44621,0.9861,0.84926,0.45976,0.86176,0.57446,0.53334,0.35107,0.88256,0.82608,0.000266991,0.000266991,0.000266991
6,130.85,0.44687,0.95982,0.84626,0.43864,0.9147,0.52177,0.48908,0.34266,0.91508,0.82105,0.000264239,0.000264239,0.000264239
7,152.422,0.4405,0.94694,0.84377,0.44822,0.90687,0.54374,0.49786,0.3722,0.89971,0.82988,0.000261487,0.000261487,0.000261487
8,173.954,0.43606,0.93508,0.84716,0.47694,0.90512,0.56485,0.5265,0.35175,0.89537,0.82234,0.000258735,0.000258735,0.000258735
9,195.458,0.42365,0.92899,0.8435,0.48186,0.86951,0.59508,0.55693,0.33901,0.86628,0.82364,0.000255982,0.000255982,0.000255982
10,217.211,0.42438,0.91048,0.84182,0.5338,0.81794,0.63312,0.59854,0.31273,0.8191,0.81679,0.00025323,0.00025323,0.00025323
11,238.958,0.41686,0.90202,0.83995,0.45041,0.8791,0.55604,0.52312,0.32508,0.87393,0.81886,0.000250478,0.000250478,0.000250478
12,260.395,0.41571,0.8868,0.84229,0.53325,0.85865,0.6209,0.58333,0.32786,0.83601,0.82116,0.000247726,0.000247726,0.000247726
13,281.875,0.41249,0.89138,0.84088,0.56838,0.83671,0.71302,0.66855,0.33812,0.76702,0.82204,0.000244974,0.000244974,0.000244974
14,303.565,0.40844,0.88554,0.83624,0.44642,0.90887,0.49877,0.46861,0.32575,0.93185,0.81899,0.000242221,0.000242221,0.000242221
15,325.121,0.40797,0.8605,0.83598,0.39927,0.90509,0.43695,0.40678,0.35585,1.13719,0.82446,0.000239469,0.000239469,0.000239469
16,346.625,0.41665,0.87122,0.83837,0.43536,0.92345,0.50762,0.47894,0.3165,0.96168,0.81638,0.000236717,0.000236717,0.000236717
17,368.103,0.40879,0.8472,0.83659,0.53559,0.81714,0.69241,0.65055,0.32789,0.79238,0.82246,0.000233965,0.000233965,0.000233965
18,389.575,0.40785,0.83825,0.83889,0.59511,0.8402,0.75629,0.70778,0.33281,0.70919,0.82165,0.000231213,0.000231213,0.000231213
19,411.236,0.40481,0.81826,0.8398,0.47902,0.8026,0.57576,0.54243,0.32244,0.91919,0.81837,0.00022846,0.00022846,0.00022846
20,432.798,0.39997,0.81648,0.83708,0.54798,0.78098,0.69194,0.65533,0.3142,0.77999,0.81899,0.000225708,0.000225708,0.000225708
21,454.25,0.3977,0.80841,0.83657,0.59164,0.80197,0.74861,0.70954,0.30403,0.71267,0.8154,0.000222956,0.000222956,0.000222956
22,475.945,0.39863,0.76539,0.83527,0.56302,0.7677,0.67113,0.63362,0.31818,0.79684,0.81859,0.000220204,0.000220204,0.000220204
23,497.453,0.39779,0.73933,0.83558,0.55462,0.83129,0.71706,0.67666,0.31466,0.79886,0.81958,0.000217452,0.000217452,0.000217452
24,518.953,0.39588,0.72191,0.83639,0.7165,0.74791,0.80219,0.75625,0.31343,0.65591,0.81803,0.000214699,0.000214699,0.000214699
25,540.687,0.39105,0.7282,0.83225,0.61681,0.77549,0.74321,0.69976,0.30814,0.71038,0.81595,0.000211947,0.000211947,0.000211947
26,562.219,0.3948,0.72363,0.83876,0.51533,0.81243,0.63307,0.59313,0.33061,0.8757,0.82456,0.000209195,0.000209195,0.000209195
27,583.778,0.38391,0.64157,0.83368,0.66261,0.8179,0.80643,0.76159,0.31674,0.63458,0.82003,0.000206443,0.000206443,0.000206443
28,605.452,0.3827,0.64772,0.83271,0.58905,0.80378,0.74574,0.70489,0.31,0.74175,0.81862,0.000203691,0.000203691,0.000203691
29,626.899,0.38386,0.64563,0.83586,0.67861,0.78725,0.79074,0.74639,0.31819,0.65373,0.82197,0.000200938,0.000200938,0.000200938
30,648.401,0.38551,0.65579,0.83321,0.63703,0.79795,0.76135,0.72216,0.31258,0.68557,0.81759,0.000198186,0.000198186,0.000198186
31,669.906,0.38496,0.63374,0.83403,0.6371,0.77608,0.7644,0.72427,0.31678,0.72107,0.81929,0.000195434,0.000195434,0.000195434
32,691.409,0.37641,0.58837,0.83146,0.56403,0.8214,0.70484,0.66569,0.31741,0.83281,0.81822,0.000192682,0.000192682,0.000192682
33,712.846,0.37462,0.59123,0.82823,0.72458,0.85773,0.85231,0.80885,0.30144,0.5365,0.81681,0.00018993,0.00018993,0.00018993
34,734.57,0.37673,0.56981,0.83131,0.71341,0.76986,0.81028,0.76776,0.29912,0.63405,0.81615,0.000187177,0.000187177,0.000187177
35,756.076,0.37899,0.56772,0.83196,0.69041,0.73053,0.77119,0.72957,0.31609,0.664,0.82119,0.000184425,0.000184425,0.000184425
36,777.582,0.37669,0.56844,0.83177,0.66771,0.784,0.77621,0.73327,0.31524,0.6672,0.82018,0.000181673,0.000181673,0.000181673
37,799.116,0.37294,0.53551,0.83041,0.75631,0.78845,0.84518,0.80333,0.30443,0.56075,0.81833,0.000178921,0.000178921,0.000178921
38,820.58,0.375,0.5194,0.83383,0.75111,0.79306,0.83159,0.78827,0.30418,0.62153,0.81732,0.000176169,0.000176169,0.000176169
39,842.21,0.3648,0.51614,0.82733,0.8114,0.8151,0.87104,0.82265,0.3082,0.50977,0.8203,0.000173416,0.000173416,0.000173416
40,863.919,0.36816,0.5044,0.82998,0.66572,0.82742,0.80825,0.7672,0.30492,0.65171,0.81853,0.000170664,0.000170664,0.000170664
41,885.396,0.36788,0.49077,0.82964,0.68915,0.79114,0.80329,0.76422,0.30609,0.63374,0.81886,0.000167912,0.000167912,0.000167912
42,906.913,0.3649,0.51088,0.82925,0.66655,0.80822,0.78717,0.74724,0.31526,0.67968,0.81934,0.00016516,0.00016516,0.00016516
43,928.412,0.36158,0.46072,0.83057,0.60764,0.78866,0.74975,0.71173,0.30572,0.78039,0.8175,0.000162408,0.000162408,0.000162408
44,949.905,0.36564,0.48848,0.83006,0.64214,0.74537,0.74058,0.70328,0.31581,0.75992,0.81996,0.000159655,0.000159655,0.000159655
