epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1826,4.16399,5.08236,3.50391,0,0,0,0,5.52856,5.42452,4.37336,9.20231e-05,9.20231e-05,9.20231e-05
2,43.9288,2.30364,3.12991,2.15678,0.24838,0.22953,0.13082,0.06829,1.62549,2.63426,1.80211,0.000182861,0.000182861,0.000182861
3,65.5066,1.52257,2.26562,1.51539,0.41866,0.53392,0.33433,0.24319,1.00261,1.74571,1.27609,0.000271865,0.000271865,0.000271865
4,87.0503,1.2105,1.8223,1.27433,0.48903,0.63578,0.41976,0.31506,0.91259,1.46819,1.14114,0.000269743,0.000269743,0.000269743
5,108.592,1.04248,1.59669,1.1716,0.38468,0.48978,0.33226,0.2309,1.10384,1.83839,1.25022,0.000266991,0.000266991,0.000266991
6,129.846,0.94307,1.44045,1.09803,0.48661,0.66986,0.42504,0.34346,0.69807,1.3546,1.00731,0.000264239,0.000264239,0.000264239
7,151.286,0.87011,1.36077,1.05201,0.51889,0.73381,0.44619,0.37183,0.64635,1.22279,0.97795,0.000261487,0.000261487,0.000261487
8,172.746,0.8002,1.29466,1.02288,0.52979,0.75383,0.49136,0.40683,0.64353,1.1338,0.96829,0.000258735,0.000258735,0.000258735
9,194.176,0.75284,1.24232,0.99676,0.46141,0.762,0.46151,0.39144,0.58407,1.13789,0.94086,0.000255982,0.000255982,0.000255982
10,215.456,0.72506,1.20207,0.97442,0.49097,0.78795,0.48816,0.41313,0.57309,1.08805,0.92759,0.00025323,0.00025323,0.00025323
11,236.847,0.6951,1.16549,0.96595,0.48734,0.80379,0.49133,0.42644,0.52356,1.06449,0.91458,0.000250478,0.000250478,0.000250478
12,258.286,0.67478,1.14606,0.95642,0.45798,0.81095,0.51821,0.4487,0.52154,1.0581,0.90523,0.000247726,0.000247726,0.000247726
13,279.672,0.65378,1.12744,0.94706,0.44421,0.8598,0.51589,0.44843,0.51499,1.01895,0.90786,0.000244974,0.000244974,0.000244974
14,300.914,0.64203,1.10859,0.93607,0.47769,0.84551,0.46699,0.41637,0.45863,1.02945,0.8896,0.000242221,0.000242221,0.000242221
15,322.103,0.62269,1.07715,0.92665,0.41985,0.89631,0.47857,0.42264,0.48122,1.0376,0.89107,0.000239469,0.000239469,0.000239469
16,343.366,0.61512,1.07255,0.92285,0.46415,0.84301,0.49138,0.43924,0.45458,1.01544,0.88237,0.000236717,0.000236717,0.000236717
17,364.576,0.60644,1.06431,0.9193,0.47081,0.86192,0.62926,0.56469,0.43804,0.92057,0.87314,0.000233965,0.000233965,0.000233965
18,386.01,0.59758,1.04221,0.91704,0.47519,0.86001,0.56598,0.50795,0.44156,0.94033,0.87303,0.000231213,0.000231213,0.000231213
19,407.193,0.58131,1.02032,0.91028,0.47074,0.83454,0.51665,0.45974,0.47601,0.97569,0.88024,0.00022846,0.00022846,0.00022846
20,428.419,0.57336,1.0232,0.9079,0.43769,0.84409,0.52843,0.47614,0.43194,0.96024,0.87132,0.000225708,0.000225708,0.000225708
21,449.61,0.57608,1.02178,0.90735,0.50703,0.84687,0.58936,0.5292,0.42295,0.93664,0.86916,0.000222956,0.000222956,0.000222956
22,470.837,0.55351,1.00066,0.89712,0.49357,0.87127,0.54044,0.4888,0.42172,0.93903,0.86269,0.000220204,0.000220204,0.000220204
23,492.025,0.55622,0.9899,0.89815,0.43487,0.91185,0.5043,0.44976,0.45615,0.98975,0.87174,0.000217452,0.000217452,0.000217452
24,513.242,0.54291,0.97458,0.89482,0.50101,0.82611,0.60573,0.54615,0.42577,0.89496,0.86351,0.000214699,0.000214699,0.000214699
25,534.483,0.53632,0.9878,0.88973,0.43912,0.91857,0.49433,0.4498,0.40025,0.94937,0.85947,0.000211947,0.000211947,0.000211947
26,555.702,0.52816,0.97349,0.89309,0.48039,0.87788,0.54481,0.49547,0.39416,0.93771,0.85336,0.000209195,0.000209195,0.000209195
27,576.91,0.53063,0.95868,0.88979,0.47617,0.86166,0.61086,0.55146,0.41713,0.89213,0.85733,0.000206443,0.000206443,0.000206443
28,598.139,0.51729,0.94889,0.8841,0.4659,0.85021,0.51489,0.4634,0.43137,0.98331,0.86067,0.000203691,0.000203691,0.000203691
29,619.33,0.52248,0.95103,0.88897,0.44666,0.90552,0.50382,0.46106,0.38302,0.96412,0.85049,0.000200938,0.000200938,0.000200938
30,640.576,0.5194,0.94167,0.88357,0.49954,0.82706,0.60551,0.55397,0.38934,0.88144,0.85081,0.000198186,0.000198186,0.000198186
31,661.804,0.51174,0.9352,0.88273,0.48028,0.88077,0.54615,0.49749,0.40113,0.93081,0.85205,0.000195434,0.000195434,0.000195434
32,682.976,0.50474,0.91256,0.87836,0.46021,0.8851,0.58471,0.53131,0.40563,0.90169,0.85707,0.000192682,0.000192682,0.000192682
33,704.214,0.50801,0.91915,0.8773,0.58067,0.79791,0.71149,0.65167,0.39348,0.80917,0.84989,0.00018993,0.00018993,0.00018993
34,725.6,0.50224,0.9081,0.87908,0.49712,0.80904,0.61382,0.56239,0.40305,0.8789,0.85401,0.000187177,0.000187177,0.000187177
35,746.804,0.49834,0.89555,0.87725,0.42908,0.86593,0.55613,0.51107,0.37875,1.0326,0.84828,0.000184425,0.000184425,0.000184425
36,768.064,0.50528,0.87649,0.87876,0.5247,0.85524,0.67516,0.61778,0.39236,0.85559,0.84933,0.000181673,0.000181673,0.000181673
37,789.258,0.50302,0.86557,0.87685,0.53699,0.81692,0.68437,0.63242,0.37459,0.81392,0.84591,0.000178921,0.000178921,0.000178921
38,810.463,0.4989,0.83602,0.87903,0.72896,0.76175,0.79701,0.73101,0.37526,0.69341,0.84507,0.000176169,0.000176169,0.000176169
39,831.938,0.48426,0.83616,0.87166,0.56584,0.82397,0.71412,0.65839,0.3836,0.77511,0.84718,0.000173416,0.000173416,0.000173416
40,853.125,0.49081,0.84023,0.8746,0.44869,0.85524,0.5338,0.48798,0.3941,1.04032,0.84886,0.000170664,0.000170664,0.000170664
